Teks Komentar,Stance
udh bener di UGM aja lah,Neutral
"jurusan hukum ❎
praktek hukum ✅",Neutral
"Ini masalah rusaknya moral, bukan hal yang sepele, Emoji tertawa sebaiknya dikurangi untuk masalah seperti ini, apalagi emoji tertawa dapat menghilangkan empati kepada para korban",Advocacy
DO aja semuanya,Advocacy
Usut tuntas proses hukum dan pecat mahasiswa bejat,Advocacy
"Apakah merupakan bagian dari RITUAL SETAN klub elit di lingkungan tsb??? 

FREEMASON mmg telah lama MENANCAPKAN PENGARUH di lingkungan pendidikan. 

Mereka BERUSAHA merekrut calon2 pemimpin masa depan.",Neutral
Pd tenang semua y mrk nanggepin pertanyaan,Neutral
publikasikan indentitas mreka        tandai mukanya  black list smua kegiatanya         smua instansi negara dan swasta  jngn ada yg mau trima mreja kerja.    Buat efek jera kpd yg lain    b8ar negri ini tertib,Advocacy
emg kenapa aku belum tau berita nya,Neutral
omon2 doang,Neutral
​@joyodiningrat9301tremor aku saking kawatir nya punya ank remaja jaman sekarang,Neutral
aamiin yaAllah 🤲,Neutral
kasus pelecehan di fhui kak,Neutral
​@farizghifari4456ah percumalah ngomong kawal kiwil motor mbg. Semua yg terkait mbg sudah diamankan. Mbg yg jelas2 ngaco sudah lebih setahun lancar jaya.,Neutral
Pecat ini UI universitas yang digadang gadang bagus,Advocacy
menjaminlah,Neutral
dih 🤣 fix bkn ank itb 🤣🤣,Neutral
ada rekaman live kemarin ga si?,Neutral
"yg cepuan juga pelaku kocak, itu juga dia ngespill krna ketauan dan dipaksa pacarnya. tetap aja ujungnya wanita yg melindungi wanita. dan inget para pelaku minta maaf krna ketauan, bukan krna merasa salah dan menyesal.",Supportive
"korban nya emang siapa aja kakak? maaf nanya, soalnya ga tau apa2",Neutral
"gw ga fokus sama kasus nya,tapi lebih fokus sama si abang yg ngomong nya, pinter banget jirrr cara ngomongnya 🥰🥰",Neutral
iya kak kecewa sama jarwo,Neutral
duhhhh emane tinggal setahun,VictimBlaming
"ui di ganti lah jadi udjgbl
biar makin panjang",Neutral
kasus pelecehan,Neutral
Baru jadi pejabat dilingkungan kampus udh berani mesum ga takut hukum gmn kl udh jadi pejabat pemerintahan parah ????!!!,Supportive
"itua ber, sedih bgt",Supportive
p4l4c4han kk,Neutral
"@be happy forever: ternyata bener yaa, pendidikan tidak menentukan pola pikir manusia.",Neutral
Ustad-ustad dan Gus juga banyak yg moralnya aneh😅,Neutral
apa susahny di baca bg,Neutral
ga terlalu gitu tapi termasuknya tetep ikut nimbrung kak dan ga berusaha ngingetin atau berhentiin temen” nya kalo itu salah,Neutral
Betuuulll.. mukanya kliatan baik dan kalem tp kelakuannya bejat.. hiihh.. serem,Supportive
semalem ngelewat terus live nya kirain lagi kumpulan mahasiswa😭😭,Neutral
*Indonesia Indonesia.*,Neutral
Andovi yang ngomong tapi gw yang hah heh hoh,Neutral
"ada kakak yg emosinya mewakili up vt kak, harusnya you'll see in ur fyp very soon 😭",Neutral
kk ny danu asisten dosen fh ui...,Neutral
"BLACKLIST UI..
KASUS MAHASISWA TENGGELAM AJA, GAK JELAS.
MASA DI UI GAK ADA CCTV",Advocacy
dari banyaknya hal di dunia ini mereka cuma fokus ke selangkangan doang,Neutral
iyhh ihkk knp iniii,Neutral
Ya elaaah ke arab luu gak usah di Indonesia,Neutral
itu mereka chatan di grup? gmn bisa kerajaan? aku kurang tau ceritanya😁🙏,Neutral
"Hancur UI  
Astagfirullah hal Adzim",Advocacy
